OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
24306,No Damage,28392.0,Big Basin,Way,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,231760.0,,28392 BIG BASIN WAY BOULDER CREEK CA 95006,37.1888824334252,-122.162492916485
125855,Destroyed (>50%),809.0,Las Lomas ,Avenue,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,Combustible,,,75146.0,1956.0,"809 LAS LOMAS AVE, PACIFIC PALISADES, CA 90272",34.0490767,-118.5386365
76009,Destroyed (>50%),5577.0,Maacama Ridge ,Road,Unincorporated,CA,,LNU,Sonoma,Healdsburg ,10/23/2019 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Metal,Unknown,"Mesh Screen <= 1/8""""",Wood,Unknown,No Deck/Porch,Wood,Unknown,No Fence,0-10,,1458833.0,1989.0,5577 MAACAMA RIDGE RD HEALDSBURG CA 95448,38.6474070527409,-122.766743510165
63584,Destroyed (>50%),4099.0,Coffey,Lane,Unincorporated,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Single Pane, , , ,,,,166437.0,,4099 COFFEY LN SANTA ROSA CA 95403,38.4894565222283,-122.747706184492
78343,Destroyed (>50%),19661.0,Last Mile,Road,Grass Valley,CA,95945.0,NEU,Nevada,,8/4/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Metal,No Eaves,"Mesh Screen > 1/8""""",Wood,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,142805.0,,19661 LAST MILE DR GRASS VALLEY CA 95945,39.1377241484218,-120.978706418173
103953,No Damage,600.0,Sierra Meadows,Drive,Sierra Madre,CA,91024.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,,,249602.0,1959.0,"600 SIERRA MEADOWS DR, SIERRA MADRE, CA 91024",34.1722454,-118.0579682
49940,Destroyed (>50%),29805.0,Cuthbert,Road,Malibu,CA,,LAC,Los Angeles,Malibu,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Tile,Unknown,Unknown,Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,>50',552943.0,1965.0,29805 CUTHBERT RD MALIBU CA 90265,34.0337157956607,-118.822723099442
46632,Destroyed (>50%),1480.0,Patrick,Road,Paradise Northwest A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Triple Wide,Single Residence,0.0,Asphalt,Enclosed,No Vents,Ignition Resistant,Multi Pane,Masonry/Concrete,Wood,Non Combustible,No Fence,,,2756731.0,1900.0,1400  KILCREASE CIR   PARADISE CA 95969,39.7840462148411,-121.592409516464
22570,No Damage,0.0,,,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,37.1387035167944,-122.305298166372
63548,Destroyed (>50%),3578.0,Parker Hill,Road,Unincorporated,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Unknown, , , ,,,,353307.0,,3578 PARKER HILL RD SANTA ROSA CA 95404,38.4794168261501,-122.703946149611
55533,No Damage,,,,Unincorporated,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,, , , , , , , , ,,,,26000.0,1980.0,2920 CLARK RD SPC 21A BUTTE VALLEY CA 95965,39.6589535796545,-121.627019943376
87428,No Damage,5612.0,Genesee ,Road,Taylorsville,CA,95983.0,LMU,Plumas,,7/13/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,,,129506.0,,5612 GENESEE RD TAYLORSVILLE CA 95983,40.0502831642692,-120.78357654608
60885,Destroyed (>50%),649.0,Watertrough,Road,Clearlake Oaks,CA,95422.0,LNU,Lake,Clearlake Oaks,7/29/2015 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,Unscreened,Combustible,Unknown, , , ,,,,3193.0,1981.0,649 Watertrough Road,39.0281134703333,-122.500824209879
