Unnamed: 0.1,Unnamed: 0,_Damage,_Street_Number,_Street_Name,_Street_Type_eg_road_drive_lane_etc,_City,_CAL_FIRE_Unit,Incident_Start_Date,_Structure_Type,Structure_Category,_Roof_Construction,_Eaves,_Vent_Screen,_Exterior_Siding,_Window_Pane,_DeckPorch_On_Grade,_DeckPorch_Elevated,_Patio_CoverCarport_Attached_to_Structure,_Fence_Attached_to_Structure,Assessed_Improved_Value_parcel,Year_Built_parcel,Latitude,Longitude
8907,8907,Destroyed (>50%),731.0,N Cloud,Drive,Paradise Central Southwest A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,135735.0,1969.0,39.7479497978089,-121.622773430959
2836,2836,Destroyed (>50%),20175.0,Old Big Basin ,Road,Unknown,CZU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,281322.0,1990.0,37.1711855367418,-122.191645670211
7010,7010,Destroyed (>50%),3054.0,Olive View,Road,Alpine,MVU,7/6/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,365000.0,1973.0,32.8285716819909,-116.746458854493
7582,7582,No Damage,6004.0,Monticello ,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,987834.0,1966.0,38.4482966251865,-122.195877133153
8378,8378,Destroyed (>50%),3532.0,Flintwood ,Drive,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,171377.0,1966.0,38.4791203994467,-122.703227841439
2307,2307,No Damage,11600.0,Chalk Hill,Road,Unincorporated,LNU,10/23/2019 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,11896.0,1952.0,38.5876553843783,-122.73661332563
9963,9963,Destroyed (>50%),3655.0,Wallace ,Road,Unincorporated,LNU,10/8/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,333348.0,1966.0,38.500536062868,-122.676117756956
7461,7461,Destroyed (>50%),16321.0,Pacific Coast,Highway,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Metal,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,60393.0,2003.0,34.0380095,-118.5381482
2783,2783,Destroyed (>50%),1117.0,E Mariposa,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,319051.0,1966.0,34.1888351,-118.1278124
3653,3653,Destroyed (>50%),8872.0,Quarterhorse,Lane,Lower Lake,LNU,8/13/2016 12:00:00 AM,Mobile Home Single Wide,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,33694.0,1966.0,38.9187535196436,-122.593609848102
488,488,Destroyed (>50%),159.0,W Las Flores,Drive,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,115225.0,1952.0,34.2005711,-118.1481871
4273,4273,Destroyed (>50%),900.0,Meadowood ,Lane,Unknown,LNU,9/27/2020 12:00:00 AM,Commercial Building Multi Story,Nonresidential Commercial,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,906828.0,1966.0,38.522402983838,-122.464462888324
8352,8352,No Damage,1362.0,Apache,Avenue,South Lake Tahoe,AEU,8/14/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,247854.0,1966.0,38.851316911505,-120.013296676949
2296,2296,Destroyed (>50%),12045.0,Seigler Canyon,Road,Middletown,LNU,9/12/2015 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,25743.0,1966.0,38.8663628695694,-122.678309797166
8281,8281,Destroyed (>50%),350.0,East Mountain,Drive,Unincorporated,SBC,12/4/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Combustible,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane, , , ,No Fence,645117.0,2011.0,34.457251019719,-119.662884229658
2519,2519,Destroyed (>50%),20351.0,PINE CANYON,Road,LAKE HUGHES,LAC,8/12/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,159866.0,1966.0,34.6976934276983,-118.504058998059
8921,8921,No Damage,119.0,Sycamore Valley,Road,Chico,BTU,7/24/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,Wood,Masonry/Concrete,Non Combustible,Non Combustible,580996.0,2002.0,39.8475615,-121.8295801
253,253,Destroyed (>50%),5894.0,Bettencourt,Lane,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,66210.0,1966.0,39.7603070726861,-121.600482627414
8343,8343,No Damage,Unknown,Unknown,Unknown,Unincorporated,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence, , , , , , , , ,No Fence,72488.0,1980.0,39.8235031312385,-121.606091431367
1502,1502,No Damage,439.0,Paseo Miramar,Unknown,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Non Combustible,5258202.0,1928.0,34.0452835,-118.5557422
9076,9076,No Damage,7657.0,Highway 128,Unknown,Unincorporated,LNU,10/23/2019 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,749339.0,1960.0,38.6620276473615,-122.804305702286
3893,3893,No Damage,751.0,Greenville Wolf Creek,Road,Greenville,LMU,7/13/2021 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,159866.0,1966.0,40.1466034689639,-120.961661602513
9743,9743,Destroyed (>50%),490.0,Saticoy,Lane,Paradise Central Southwest B,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,64911.0,1972.0,39.7379409489664,-121.63157857544
6329,6329,Destroyed (>50%),1124.0,Iliff,Street,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,51338.0,1950.0,34.0502857,-118.5192644
5107,5107,Destroyed (>50%),5575.0,Feather River,Place,Paradise Southeast B,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,216383.0,1960.0,39.7496667216091,-121.570817500701
8014,8014,Destroyed (>50%),3771.0,Crown Hill,Drive,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,690718.0,1966.0,38.4874186565476,-122.699582274997
2355,2355,Destroyed (>50%),1680.0,Young,Avenue,Paradise Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Wood,Wood,No Patio Cover/Carport,Combustible,82452.0,1974.0,39.7665732088154,-121.581291864998
3312,3312,Destroyed (>50%),5850.0,Sawmill ,Road,Paradise Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,97368.0,1966.0,39.7590350505253,-121.588702442375
7802,7802,Destroyed (>50%),1450.0,Sleepy Hollow ,Lane,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,150879.0,2005.0,39.761961110872,-121.591462597832
4938,4938,Destroyed (>50%),7075.0,Clark,Road,Paradise Northwest A,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1412010.0,1900.0,39.7919247449716,-121.587128063991
3470,3470,Destroyed (>50%),1690.0,Gate,Lane,Paradise Northeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Wood,Wood,Combustible,No Fence,132112.0,1981.0,39.7970146169192,-121.580294766474
3378,3378,No Damage,140.0,Margaret ,Drive,Twin Bridges,AEU,8/14/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,268262.0,1966.0,38.8018537103166,-120.144151316116
6520,6520,Destroyed (>50%),507.0,Almar,Avenue,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,244956.0,1958.0,34.0423875,-118.5377491
4491,4491,Destroyed (>50%),1579.0,Calle Patricia,Unknown,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,583218.0,1992.0,34.0760673,-118.5498965
4917,4917,Destroyed (>50%),40123.0,Solitude,Lane,Unknown,FKU,9/4/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,389109.0,2003.0,37.0909281394164,-119.333105287638
6675,6675,No Damage,342.0,W Woodbury ,Road,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,147916.0,1946.0,34.1823599,-118.1579516
655,655,Destroyed (>50%),541.0,Hillcrest ,Drive,Paradise Central Southwest A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,143086.0,1989.0,39.7455294158499,-121.629431045854
8971,8971,Destroyed (>50%),1127.0,Embury,Street,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1240130.0,2012.0,34.0496664,-118.5240226
4828,4828,Destroyed (>50%),585.0,Craig Access,Road,Unknown,BTU,9/9/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Other,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,43504.0,1960.0,39.5528064655558,-121.367433914963
7373,7373,Destroyed (>50%),8256.0,Quail Canyon,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,312054.0,1989.0,38.4688166908123,-122.048183040386
1571,1571,Destroyed (>50%),9250.0,Skyway,Unknown,Paradise Northeast A,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,10821.0,1977.0,39.7989173134062,-121.583743747396
4868,4868,No Damage,1440.0,Crestmont,Drive,Unknown,LNU,9/27/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,1613036.0,1994.0,38.5457123492418,-122.454970053849
7287,7287,Destroyed (>50%),395.0,Hillside,Drive,Greenville,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,15231.0,1966.0,40.1451402493134,-120.955171648284
6048,6048,No Damage,2328.0,Blitzen,Road,South Lake Tahoe,AEU,8/14/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,152858.0,1966.0,38.8440737551708,-120.019751747798
8788,8788,Destroyed (>50%),5436.0,Clark,Road,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,539802.0,1963.0,39.7446286297102,-121.605704992301
4039,4039,Destroyed (>50%),303.0,W Calaveras,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,92995.0,1956.0,34.1914784,-118.1557005
4722,4722,No Damage,350.0,Alma Real,Drive,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,6008310.0,2020.0,34.0349058,-118.5231094
8588,8588,No Damage,2924.0,Upper Truckee,Road,South Lake Tahoe,AEU,8/14/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,93299.0,1966.0,38.8300210611069,-120.02293539603
1269,1269,No Damage,1078.0,Vista grande,Drive,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,766782.0,1966.0,34.057209,-118.5503486
2179,2179,Destroyed (>50%),900.0,Meadowood ,Lane,Unknown,LNU,9/27/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,48703108.0,1966.0,38.5243557772192,-122.470833491486
8454,8454,No Damage,25861.0,Wright,Unknown,Unknown,ORC,10/26/2020 12:00:00 AM,Commercial Building Multi Story,Nonresidential Commercial,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,6388714.0,1966.0,33.682842263764,-117.678902266337
1015,1015,No Damage,18145.0,Kingsport,Drive,Malibu,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,124442.0,1963.0,34.0451315,-118.5712828
4228,4228,Destroyed (>50%),14601.0,Drummond ,Street,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,173272.0,1948.0,34.0437817,-118.5177012
9018,9018,No Damage,37776.0,Old Highway,Road,Quincy,LMU,7/13/2021 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Composite,No Deck/Porch,No Patio Cover/Carport,No Fence,287839.0,1966.0,40.0017140169403,-120.955208833147
7012,7012,Destroyed (>50%),1565.0,Elloitt,Road,Paradise Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,368821.0,2015.0,39.7599055204201,-121.586719591946
870,870,Destroyed (>50%),954.0,High Point,Drive,Ventura,VNC,12/4/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Enclosed,"Mesh Screen > 1/8""""",Fire Resistant,Multi Pane, , , ,No Fence,197074.0,1978.0,34.2945896496863,-119.204116479859
4701,4701,Destroyed (>50%),6197.0,West Wagstaff ,Road,Paradise Northwest B,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,90000.0,1948.0,39.7714506493063,-121.630293618071
216,216,No Damage,2766.0,Lower Chiles Valley,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,125894.0,1966.0,38.5194713075787,-122.31284648782
4550,4550,No Damage,13830.0,33 Mile Stone,Unknown,Kyburz,AEU,8/14/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,12390.0,1966.0,38.7714109225571,-120.290486106042
8402,8402,Destroyed (>50%),9705.0,Swasey,Drive,Unincorporated,SHU,7/23/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unenclosed,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,148000.0,2009.0,40.5691485640608,-122.47141635168
2285,2285,No Damage,28.0,Latimer ,Road,Santa Monica,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,201693.0,1947.0,34.0445634,-118.511567
2326,2326,Destroyed (>50%),1099.0,Nunneley,Road,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,85611.0,1950.0,39.7562414514712,-121.606634136867
4028,4028,Destroyed (>50%),35000.0,W. Pacific Coast Hwy,Other,Los Angeles County,LAC,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,0.0,1966.0,34.0455800939612,-118.942370172969
2531,2531,Destroyed (>50%),515.0,Lavender ,Lane,Paradise Central Southwest B,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,83319.0,1982.0,39.7381081445602,-121.629589390092
400,400,Destroyed (>50%),8999.0,Chalk Hill,Road,Unincorporated,LNU,10/23/2019 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,307243.0,1973.0,38.5521281881989,-122.772921873856
2634,2634,Destroyed (>50%),14001.0,Stetson,Court,Magalia,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,Wood,Non Combustible,No Fence,170000.0,1981.0,39.818238306539,-121.60816197174
4785,4785,Destroyed (>50%),4434.0,INDIAN CREEK RD,Unknown,Unknown,SKU,9/8/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,159866.0,1968.0,41.8509239388782,-123.387895033652
8449,8449,Destroyed (>50%),10569.0,Dixie Valley ,Road,Portola ,LMU,7/13/2021 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,8882.0,1966.0,39.9616655044728,-120.347561908804
4716,4716,No Damage,1239.0,El Hito,Circle,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,99651.0,1972.0,34.0578729,-118.5413121
8475,8475,Destroyed (>50%),0.0,Fistelero ,Road,Unknown,CZU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,"Mesh Screen > 1/8""""",Metal,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,605504.0,1992.0,37.0964415834486,-122.265024017002
3165,3165,No Damage,12050.0,Aspen Gold ,Drive,Grass Valley,NEU,8/4/2021 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,234877.0,1966.0,39.1009069107582,-120.992095635905
3120,3120,Destroyed (>50%),1945.0,Piner,Road,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Mobile Home Double Wide,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane, , , ,No Fence,7562995.0,1966.0,38.471336486787,-122.753403194921
7990,7990,Destroyed (>50%),13727.0,Andover,Drive,Magalia,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Unscreened,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,70000.0,1980.0,39.8064310181882,-121.594712716903
1572,1572,Destroyed (>50%),5.0,Acres off highway,Other,Concow/Yankee Hill,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,10562.0,1966.0,39.732254216356,-121.496765083274
776,776,Destroyed (>50%),0.0,View Crest,Drive,Unincorporated,BTU,7/7/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane, , , ,No Fence,76143.0,1966.0,39.4825708321526,-121.433398313001
2490,2490,Destroyed (>50%),2631.0,Marengo,Avenue,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,"Mesh Screen <= 1/8""""",Vinyl,Single Pane,No Deck/Porch,Masonry/Concrete,Combustible,Combustible,170404.0,1921.0,34.1904322,-118.1426909
3934,3934,No Damage,60465.0,S Cascadel,Drive,Unknown,MMU,9/4/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,88583.0,1996.0,37.2295214964505,-119.451406988501
7156,7156,No Damage,847.0,Muskingum ,Avenue,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Unscreened,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,555963.0,1951.0,34.0503667,-118.5342612
6599,6599,No Damage,27.0,Vientos,Road,Camarillo,VNC,11/6/2024 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,207064.0,1959.0,34.2431008,-119.0678604
8409,8409,Destroyed (>50%),5191.0,Hanks Exchange,Road,Placerville,AEU,8/12/2019 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,159866.0,1966.0,38.6609377491036,-120.744560636386
2133,2133,No Damage,549.0,Pecks Valley ,Road,Greenville,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,34653.0,1966.0,40.1554131268527,-120.932342420609
