Unnamed: 0.1,Unnamed: 0,_Damage,_Street_Number,_Street_Name,_Street_Type_eg_road_drive_lane_etc,_City,_CAL_FIRE_Unit,Incident_Start_Date,_Structure_Type,Structure_Category,_Roof_Construction,_Eaves,_Vent_Screen,_Exterior_Siding,_Window_Pane,_DeckPorch_On_Grade,_DeckPorch_Elevated,_Patio_CoverCarport_Attached_to_Structure,_Fence_Attached_to_Structure,Assessed_Improved_Value_parcel,Year_Built_parcel,Latitude,Longitude
417,417,Destroyed (>50%),7671.0,Skyway,Road,Paradise Northwest B,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,211134.0,1920.0,39.7714386776401,-121.612633250726
3073,3073,Destroyed (>50%),8317.0,Wildmint,Drive,SOUTH LAKE,KRN,6/24/2016 12:00:00 AM,Mobile Home Double Wide,Single Residence,Fire Resistant,,,Combustible,Single Pane, , , ,No Fence,6192.0,1966.0,35.630317368048,-118.37142550778
8918,8918,Destroyed (>50%),255.0,Bonnie,Way,Unincorporated,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Enclosed,Screened,Fire Resistant,Single Pane, , , ,No Fence,302494.0,1964.0,38.3810651911394,-122.520126851174
4877,4877,Destroyed (>50%),6386.0,Glendale,Court,Magalia,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,18241.0,1981.0,39.8041222277952,-121.598973324786
3531,3531,No Damage,14625.0,Coyote Ridge,Road,Unincorporated,LNU,10/23/2019 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,430172.0,1982.0,38.7353465006574,-122.889011632333
1963,1963,Destroyed (>50%),5915.0,Skyhigh,Way,Unincorporated,LNU,10/8/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,464054.0,1966.0,38.512961167863,-122.737520710305
5214,5214,No Damage,Unknown,Unknown,Unknown,Unknown,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence, , , , , , , , ,No Fence,97005.0,1973.0,39.7701282864756,-121.632362466916
9096,9096,No Damage,3139.0,Vaca Valley ,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,988380.0,1966.0,38.3853046599633,-122.017661299083
2926,2926,No Damage,75.0,Vientos,Road,Camarillo,VNC,11/6/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,420000.0,1962.0,34.2449388,-119.0665778
6243,6243,Destroyed (>50%),459485.0,Lake View,Drive,Janesville,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,182576.0,1966.0,40.256342597029,-120.472018680042
6199,6199,Destroyed (>50%),1968.0,Camino del Prado,Unknown,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Unenclosed,Screened,Combustible,Single Pane, , , ,No Fence,147915.0,1966.0,38.4749929950404,-122.751886246732
3917,3917,Destroyed (>50%),13664.0,Skyway ,Unknown,Magalia,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,131332.0,1961.0,39.8049811844458,-121.578274579368
2895,2895,Destroyed (>50%),1321.0,Miller,Drive,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane, , , ,No Fence,175276.0,1966.0,38.482266283368,-122.744204821907
7285,7285,Destroyed (>50%),1155.0,Ida Lin,Way,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,82791.0,1962.0,39.7570818351582,-121.603718809123
9303,9303,Destroyed (>50%),6849.0,Caliente Bodfish,Road,Havilah,KRN,7/24/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,54447.0,1959.0,35.517296,-118.5171421
2924,2924,Destroyed (>50%),660.0,Main,Street,Greenville,LMU,7/13/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,"Mesh Screen > 1/8""""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,10022.0,1966.0,40.1447023608674,-120.944553359505
9137,9137,Destroyed (>50%),539.0,Horseshoe Hill,Drive,Paradise Southwest B,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,230877.0,1954.0,39.7530041930195,-121.632688828452
24,24,No Damage,413.0,Buena Tierra ,Court,Windsor,LNU,10/23/2019 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,263821.0,1989.0,38.5590455580236,-122.791981816413
6853,6853,Destroyed (>50%),80.0,W Mendocino ,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,122987.0,1948.0,34.1913823,-118.1507301
5391,5391,No Damage,4765.0,Sciaroni ,Road,Grizzly Flats,AEU,8/14/2021 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,159866.0,1966.0,38.6447920117787,-120.518327064704
3274,3274,No Damage,45791.0,Rocking K,Drive,California Hot Springs,TUU,9/10/2021 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,32383.0,1966.0,35.8718057131632,-118.629922606491
4765,4765,Destroyed (>50%),125.0,Charity,Road,Havilah,KRN,7/24/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,87776.0,2007.0,35.4856574,-118.5226811
9810,9810,Destroyed (>50%),1900.0,Lawndale,Road,Unincorporated,LNU,10/8/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,164907.0,1966.0,38.4067886177746,-122.57189925023
71,71,No Damage,13761.0,Calle Codoniz,Unknown,Lake Elsinore,RRU,9/9/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,73638.0,1968.0,33.651541,-117.4188387
1754,1754,Destroyed (>50%),8508.0,Dawn,Place,SOUTH LAKE,KRN,6/24/2016 12:00:00 AM,Mobile Home Double Wide,Single Residence,Fire Resistant,,,Combustible,, , , ,No Fence,8487.0,1966.0,35.6282772334201,-118.371216933344
8737,8737,No Damage,Unknown,Unknown,Unknown,Unknown,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure, , , , , , , , ,No Fence,10000.0,1970.0,39.7797434536278,-121.588579539369
7044,7044,Destroyed (>50%),800.0,Via De La Paz,Unknown,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,School,Nonresidential Commercial,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,159866.0,1966.0,34.0454083,-118.5268431
